typology,rebuild_strategy,material,total_new_material_tons,total_recycled_material_tons,cost_pre,cost_infl
SFH,partial_rebuild,aluminum,0.0,1023984437.6761092,0.0,0.0
SFH,partial_rebuild,gypsum,0.0,1023984437.6761092,0.0,0.0
SFH,partial_rebuild,plastics,0.0,1023984437.6761092,0.0,0.0
SFH,repair,cement,228.63571453853794,1138735665.196577,29722.64289000993,92826.10010264642
SFH,repair,steel,48.498484902114114,1138735665.196577,39768.75761973357,71729.25917022678
SFH,repair,sand,401.8445891889455,1138735665.196577,7233.202605401018,9242.425551345746
SFH,repair,gravel,138.56709972032604,1138735665.196577,3048.476193847173,3879.8787921691296
SFH,repair,stone,103.9253247902445,1138735665.196577,5819.818188253694,7378.698060107362
SFH,repair,wood,9.006861481821192,1138735665.196577,3512.6759779102645,5007.814983892583
SFH,repair,glass,4.849848490211412,1138735665.196577,5577.325763743123,9413.55591950035
SFH,repair,aluminum,2.7713419944065207,1138735665.196577,5126.9826896520635,8034.120441784504
SFH,repair,gypsum,7.621190484617932,1138735665.196577,381.0595242308966,510.6197624694014
SFH,repair,plastics,1.3856709972032604,1138735665.196577,1662.805196643912,2208.759569541997
